Dive #,Date (yyyy-mm-dd),Site,Location,Dive Type,Max depth (m),Average depth (m),Bottom Time,Total Time,Gas Mixture,Bottom temp (°C),Surface temp (°C),Vis (m),Current,Wetsuit thickness (mm),Weights (kgs),Tank Type,Buddies,Key Species
50,2025-07-02,Witch's Hat,"Závora, Mozambique",Hobo deployment/Ultrasound/Check out dive,16.1,12.1,46,55,Air,22,23,7,None,7.5,5,Steel,"Em, Rose","1x Blotched fantail ray (F), 1x Green turtle (U), 1x Eagle ray (U), 2x Jenkins whipray (1M, 1F), School of Pickhandle Barracuda"
51,2025-07-03,Area 51,"Závora, Mozambique",Ultrasound/Nudi Survey/Predatory fish,15.5,12.9,53,61,Air,22,23,15,Light,7.5,5,Steel,"Em, Rose","1x Blotched Fantail Ray (F), 4x Jenkins Whipray (3F,1M), 1x Bluespotted Mask Ray (F), 1x Green turtle (F), 1x Hawksbill turtle (F), 1x loggerhead turtle (F), School of pickhandle barracuda, school of bigeye kingfish, "
52,2025-07-03,Witch's Hat,"Závora, Mozambique",Sharks/Ray Ultrasound,16.4,13.2,55,58,Air,22,23,12,Light,7.5,5,Steel,"Ed, Rose","1x whitetip reef shark (F), 3x Jenkins Whipray (2M,1F), 1x bluespotted ribbontail ray (M), 2x bluespotted maskray (F)"
53,2025-07-05,Deep Reef South,"Závora, Mozambique",Predatory Fish Survey,30.6,18.0,17,30,Air,22,23,18,None,7.5,5,Steel,"Em, Rose","8x Jenkins whipray (6F, 1M, 1U), 3x blotched fantail ray (2M, 1U), 3x potato grouper, 1x Malibar grouper, 3x african grouper, 2x green turtle (1M, 1F), 1x loggerhead turtle (F), 4x Couta, school of rainbow runners, 1x bullshark (U)"
54,2025-07-05,Sponge city,"Závora, Mozambique",BRUV deployment/Predatory Fish/Practice nudi survey,23.5,17.7,30,39,Air,23,23,3,Light,7.5,5,Steel,"Ed, Rose",1x loggerhead (U)
55,2025-07-06,Deans,"Závora, Mozambique",Predatory Fish Survey,32.0,20.8,17,30,Air,20,24,20,Light,7.5,5,Steel,"Em, Ed, Rose, Amandine, Oscar","4x Blotched fantail ray (2M, 2F), 3x African grouper, 17x rainbow runners, 1x tiger rockcod, 1x potato bass, 1x spanish dancer"
56,2025-07-06,Witch's Hat,"Závora, Mozambique",Predatory Fish/Ultrasound/Nudi survey,16.9,13.4,60,67,Air,23,24,4,None,7.5,5,Steel,"Em, Oscar","1x greyspot guitarfish (U), 1x marbled electric ray (U), 6x pickhandle barracuda, 1x Jenkins whipray (F), 1x peacock grouper, 2x whitetip reef shark, 1x green turtle (U), 4x bluespotted maskray (2F, 2U), 4x blacktip kingfish"
57,2025-07-10,Great Wall South,"Závora, Mozambique",Predatory Fish/Nudi Survey/Ultrasound,17.5,,40,52,Air,22,23,8,None,7.5,5,Steel,"Ed, Oscar","1 x Hawksbill Turtle(F), 1 x Spanish Dancer"
58,2025-07-10,Witch's Hat,"Závora, Mozambique",Manta ID/Ultrasound,15.6,,53,60,Air,22,23,7,None,7.5,5,Steel,"Ed, Oscar","5x Manta afredi (3F, 2M), 1x Marbled Electric Ray (F), 1x Whitetip Reef Shark (F)"
59,2025-07-11,Deans,"Závora, Mozambique",Temp logger retrieval/Predatory fish,31.9,20.1,16,36,Air,23,23,10,None,7.5,5,Steel,"Em, Ed, Rose, Amandine, Oscar","1x Tiger rockcod, 7x couta, 150x bigeye kingfish, school rainbow runners, 1x wahoo"
